Governorate,District,Town,Institution_Name,Type,Latitude,Longitude
Bekaa,West Bekaa,Machghara,Machgharah Technical School,Public,33.5281,35.6517
Bekaa,West Bekaa,Khiara,Bekaa Industrial Institute,Public,33.6889,35.8481
Bekaa,West Bekaa,Khiara,Bekaa Technical Institute,Public,33.6889,35.8481
Bekaa,West Bekaa,Khiara,Bekaa Vocational and Technical Institute,Public,33.6889,35.8481
Bekaa,West Bekaa,Joub Jannine,Development Institute for Sciences and Professions,Public,33.6300,35.7800
Bekaa,West Bekaa,Hammara-Manara,Manara Technical Institute,Public,33.6481,35.8861
Bekaa,West Bekaa,Kherbet Qanafar,Kherbet Qanafar Technical Institute,Public,33.6392,35.7265
Bekaa,West Bekaa,Sohmor,Western Bekaa Martyrs Institute,Public,33.5186,35.6856
Bekaa,Rashaya,Marj El Simah,Rashaya Development Technical Institute,Public,33.5019,35.8398
Bekaa,Rashaya,Kherbet Rouha,Kherbet Rouha Technical Institute,Public,33.5333,35.8667
Bekaa,Rashaya,Aqaba,Rachaya Technical Institute,Public,33.5000,35.8400
Bekaa,Zahle,Qob Elias,Technical Institute for Food Industries,Public,33.8267,35.8333
Bekaa,Zahle,Qob Elias,Qobb Elias Technical School,Public,33.8267,35.8333
Bekaa,Zahle,Zahle,Zahle Technical School,Public,33.8468,35.9020
Bekaa,Zahle,Hosh Al Omara,Hosh Al Omara Technical Education and Training Institute,Public,33.8300,35.9000
Bekaa,Zahle,Hzarta,Hzarta Technical Institute,Public,33.8500,35.8500
Bekaa,Zahle,Riyaq,Riyaq Technical Institute,Public,33.8500,36.0000
Bekaa,Zahle,Majdel Anjar,Majdel Anjar Technical Institute,Public,33.7000,35.8800
Bekaa,Zahle,Bar Elias,Martyr Prime Minister Rafic Hariri Technical Institute,Public,33.7833,35.9000
Bekaa,Zahle,Zahle,Anera Vocational Training Center,NGO,33.8468,35.9020
Bekaa,Zahle,Zahle,Red Oak Vocational Training for Women,NGO,33.8468,35.9020
Bekaa,West Bekaa,Joub Jannine,AVSI Training Center,NGO,33.6300,35.7800
Bekaa,West Bekaa,Sohmor,Fair Trade Lebanon Women Empowerment,NGO,33.5186,35.6856
